Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
2-propanol,323.15,-18.69112519,-16.40744679,757.1,60.0953,REF,-3.86927245,0.0014032831,-2.76931762,2.2836783999999994,-18.69112519,-16.41529185,757.1,60.0953,SLE,-3.24175292,0.0059276556,-2.14294747,0.00057312,2.275833340000002,0.6275195299999998,0.6263701499999996,0.0045243725,-0.007845059999997517
2-propanol,318.15,-18.95333714,-16.61608012,761.44,60.0953,REF,-4.02804531,0.00097396,-2.9254964,2.337257019999999,-18.95333714,-16.62202579,761.44,60.0953,SLE,-3.37725515,0.0043451504,-2.27556271,0.00041951,2.33131135,0.6507901600000006,0.6499336900000001,0.0033711904,-0.005945669999999126
2-propanol,313.15,-19.21697271,-16.82957989,765.83,60.0953,REF,-4.18948562,0.0006717683,-3.08436585,2.3873928199999987,-19.21697271,-16.83405795,765.83,60.0953,SLE,-3.51438748,0.00317201,-2.40990316,0.00030592,2.382914760000002,0.6750981400000002,0.6744626900000004,0.0025002417,-0.004478059999996731
2-propanol,308.15,-19.48199998,-17.04797813,770.25,60.0953,REF,-4.35367788,0.0004603735,-3.24600122,2.4340218500000006,-19.48199998,-17.05132949,770.25,60.0953,SLE,-3.65324879,0.00230576,-2.54604148,0.0002222,2.4306704900000007,0.7004290900000001,0.6999597400000002,0.0018453865,-0.0033513599999999144
2-propanol,303.15,-19.74838803,-17.27130839,774.72,60.0953,REF,-4.52071179,0.0003134253,-3.41048551,2.4770796399999995,-19.74838803,-17.27380026,774.72,60.0953,SLE,-3.79393177,0.0016687129,-2.68405052,0.00016072,2.4745877699999994,0.7267800200000001,0.72643499,0.0013552876,-0.0024918700000000626
2-propanol,298.15,-20.01610718,-17.49960333,779.23,60.0953,REF,-4.69068461,0.0002119342,-3.57791113,2.5165038499999994,-20.01610718,-17.50144376,779.23,60.0953,SLE,-3.93652628,0.0012021827,-2.82400518,0.00011574,2.514663419999998,0.7541583300000001,0.75390595,0.0009902485,-0.0018404300000014473
propanone,403.15,-14.71611476,-15.15167602,710.52,58.0795,REF,-0.85514589,0.6357761658,-0.0446638,-0.43556126000000006,-14.71611476,-14.97029132,710.52,58.0795,SLE,-0.64132353,0.7610330559,0.05520464,0.22838968,-0.25417655999999944,0.21382236,0.09986844,0.12525689010000007,0.18138470000000062
propanone,398.15,-14.95115832,-15.4176445,714.36,58.0795,REF,-0.89778077,0.6091763579,-0.06548068,-0.4664861800000004,-14.95115832,-15.22610029,714.36,58.0795,SLE,-0.67506691,0.7424552134,0.04337039,0.21131635,-0.2749419700000004,0.22271386000000004,0.10885107,0.13327885549999996,0.19154421
propanone,393.15,-15.18811761,-15.68598404,718.24,58.0795,REF,-0.94124698,0.5817749172,-0.08779798,-0.4978664299999984,-15.18811761,-15.48429148,718.24,58.0795,SLE,-0.70941106,0.7230258995,0.03063729,0.19524906,-0.29617386999999873,0.23183591999999997,0.11843527,0.1412509823,0.2016925599999997
propanone,388.15,-15.42696862,-15.95664033,722.16,58.0795,REF,-0.98559372,0.5536624377,-0.11169139,-0.5296717100000006,-15.42696862,-15.74484357,722.16,58.0795,SLE,-0.74437779,0.7027468353,0.01695466,0.180145,-0.3178749500000002,0.24121592999999997,0.12864605,0.14908439760000003,0.21179676000000036
