Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
cyclohexane,393.15,-15.18811761,-15.20021965,690.07,84.16,SLE,-0.86725335,0.5383844845,-0.13831172,0.13575213,-0.012102039999998482
cyclohexane,388.15,-15.42696862,-15.40845564,693.88,84.16,SLE,-0.93369682,0.4947027718,-0.18057454,0.1164939,0.018512980000000567
cyclohexane,383.15,-15.66768595,-15.6096564,697.73,84.16,SLE,-1.00695154,0.4476613591,-0.229901,0.09841209,0.058029549999998764
cyclohexane,378.15,-15.91024291,-15.80301378,701.61,84.16,SLE,-1.08773924,0.3978327628,-0.28737099,0.08170728,0.10722912999999856
cyclohexane,373.15,-16.15461156,-15.98866714,705.53,84.16,SLE,-1.17626491,0.3464645814,-0.35369157,0.06664002,0.16594441999999887
cyclohexane,368.15,-16.40076282,-16.16812837,709.5,84.16,SLE,-1.27192961,0.2954813422,-0.42883448,0.0534651,0.23263444999999905
cyclohexane,363.15,-16.64866657,-16.34427653,713.5,84.16,SLE,-1.37327836,0.2471331379,-0.51183461,0.04233715,0.30439004000000125
cyclohexane,358.15,-16.89829177,-16.52055666,717.54,84.16,SLE,-1.47842919,0.2033411295,-0.60105757,0.0332331,0.3777351099999997
cyclohexane,353.15,-17.14960654,-16.69999236,721.62,84.16,SLE,-1.58565373,0.1652148583,-0.69473761,0.02596249,0.4496141800000011
cyclohexane,348.15,-17.40257834,-16.88453437,725.74,84.16,SLE,-1.6937971,0.1329878664,-0.79147247,0.02023965,0.5180439700000008
cyclohexane,343.15,-17.65717409,-17.07510118,729.9,84.16,SLE,-1.80229391,0.1062933887,-0.89036175,0.01576544,0.5820729100000008
cyclohexane,338.15,-17.91336033,-17.27185262,734.11,84.16,SLE,-1.91103523,0.08447034,-0.9909599,0.0122734,0.6415077099999991
cyclohexane,333.15,-18.17110338,-17.4745112,738.36,84.16,SLE,-2.02019221,0.0667821205,-1.09314225,0.0095457,0.6965921800000032
cyclohexane,328.15,-18.43036953,-17.68260732,742.65,84.16,SLE,-2.13007432,0.0525321149,-1.1969749,0.00741183,0.7477622100000012
cyclohexane,323.15,-18.69112519,-17.89558676,746.99,84.16,SLE,-2.24106754,0.0411061636,-1.30264899,0.00574027,0.7955384300000006
cyclohexane,318.15,-18.95333714,-18.1129076,751.37,84.16,SLE,-2.35357387,0.0319845696,-1.41041294,0.00443023,0.8404295399999988
cyclohexane,313.15,-19.21697271,-18.33406212,755.79,84.16,SLE,-2.46799761,0.0247348787,-1.52055001,0.0034041,0.8829105900000016
cyclohexane,308.15,-19.48199998,-18.55858837,760.26,84.16,SLE,-2.58473741,0.0190005662,-1.63336324,0.00260173,0.9234116100000023
cyclohexane,303.15,-19.74838803,-18.78607557,764.78,84.16,SLE,-2.70418206,0.0144891275,-1.74916562,0.00197614,0.9623124599999997
cyclohexane,298.15,-20.01610718,-19.01616267,769.35,84.16,SLE,-2.82671099,0.0109610945,-1.86827608,0.00149035,0.9999445099999988
cyclohexanol,403.15,-14.71611476,-14.10213543,849.16,100.1595,SLE,-1.11174217,0.3433076872,-0.3036549,0.07731394,0.6139793299999994
cyclohexanol,398.15,-14.95115832,-14.19344847,853.6,100.1595,SLE,-1.24164616,0.275053017,-0.40329599,0.05732629,0.7577098499999995
cyclohexanol,393.15,-15.18811761,-14.28861895,858.06,100.1595,SLE,-1.37377713,0.2159876114,-0.51083037,0.04228856,0.8994986600000008
cyclohexanol,388.15,-15.42696862,-14.39375198,862.55,100.1595,SLE,-1.50477177,0.1676657035,-0.62243969,0.03127723,1.033216640000001
cyclohexanol,383.15,-15.66768595,-14.51095493,867.07,100.1595,SLE,-1.63336971,0.1293621092,-0.73586408,0.0232611,1.1567310199999987
cyclohexanol,378.15,-15.91024291,-14.64011056,871.61,100.1595,SLE,-1.75952832,0.0994735754,-0.85005947,0.01739689,1.270132349999999
cyclohexanol,373.15,-16.15461156,-14.78016784,876.18,100.1595,SLE,-1.8837486,0.0763144217,-0.96471078,0.01306927,1.3744437199999986
cyclohexanol,368.15,-16.40076282,-14.92990676,880.78,100.1595,SLE,-2.00665838,0.0584267241,-1.07983247,0.00984785,1.470856060000001
cyclohexanol,363.15,-16.64866657,-15.0881887,885.4,100.1595,SLE,-2.1288705,0.0446331261,-1.19558665,0.00743241,1.5604778699999997
cyclohexanol,358.15,-16.89829177,-15.25405211,890.05,100.1595,SLE,-2.25092347,0.0340103134,-1.31218163,0.00561147,1.6442396600000002
cyclohexanol,353.15,-17.14960654,-15.42671685,894.73,100.1595,SLE,-2.37327357,0.0258414221,-1.42983018,0.00423376,1.7228896900000006
cyclohexanol,348.15,-17.40257834,-15.60555597,899.43,100.1595,SLE,-2.49630678,0.0195710606,-1.5487369,0.00318928,1.7970223700000023
cyclohexanol,343.15,-17.65717409,-15.7900846,904.17,100.1595,SLE,-2.6203408,0.0147692054,-1.66908325,0.00239695,1.8670894900000015
cyclohexanol,338.15,-17.91336033,-15.9799272,908.93,100.1595,SLE,-2.74564127,0.01110219,-1.7910316,0.00179622,1.9334331299999992
cyclohexanol,333.15,-18.17110338,-16.17479678,913.72,100.1595,SLE,-2.87243157,0.0083108355,-1.91472659,0.00134143,1.9963066000000005
cyclohexanol,328.15,-18.43036953,-16.3744777,918.53,100.1595,SLE,-3.00090124,0.0061937237,-2.04029736,0.00099793,2.05589183
cyclohexanol,323.15,-18.69112519,-16.57881081,923.38,100.1595,SLE,-3.13121344,0.0045943655,-2.16786068,0.00073924,2.112314380000001
cyclohexanol,318.15,-18.95333714,-16.78768129,928.25,100.1595,SLE,-3.26351144,0.0033913121,-2.29752409,0.00054512,2.1656558500000003
cyclohexanol,313.15,-19.21697271,-17.00100967,933.15,100.1595,SLE,-3.39792341,0.0024904918,-2.42938824,0.00040002,2.215963040000002
cyclohexanol,308.15,-19.48199998,-17.21874286,938.08,100.1595,SLE,-3.53456772,0.0018192235,-2.56355035,0.00029203,2.2632571200000022
cyclohexanol,303.15,-19.74838803,-17.44084814,943.03,100.1595,SLE,-3.67355661,0.0013215357,-2.70010644,0.00021205,2.307539890000001
cyclohexanol,298.15,-20.01610718,-17.66730808,948.02,100.1595,SLE,-3.81499961,0.0009544867,-2.83915362,0.00015311,2.3487990999999973
"2,3-dihydropyran",403.15,-14.71611476,-15.00452099,840.91,84.1169,SLE,-0.62277585,0.699236029,0.03427703,0.23835494,-0.28840622999999965
"2,3-dihydropyran",398.15,-14.95115832,-15.26392906,845.34,84.1169,SLE,-0.65431161,0.6790406855,0.02185321,0.22166054,-0.31277074000000127
"2,3-dihydropyran",393.15,-15.18811761,-15.52580914,849.81,84.1169,SLE,-0.6863421,0.6582641044,0.00862103,0.20590074,-0.33769152999999896
"2,3-dihydropyran",388.15,-15.42696862,-15.79006908,854.3,84.1169,SLE,-0.71892488,0.6369095443,-0.00547695,0.19101836,-0.36310046000000007
"2,3-dihydropyran",383.15,-15.66768595,-16.05660021,858.83,84.1169,SLE,-0.75212916,0.6149787707,-0.02050753,0.17695826,-0.38891425999999996
"2,3-dihydropyran",378.15,-15.91024291,-16.32530765,863.39,84.1169,SLE,-0.7860191,0.5924840227,-0.03653875,0.16367445,-0.41506474000000004
"2,3-dihydropyran",373.15,-16.15461156,-16.59608806,867.98,84.1169,SLE,-0.82066653,0.5694407888,-0.05364649,0.15112401,-0.44147650000000027
"2,3-dihydropyran",368.15,-16.40076282,-16.86880558,872.6,84.1169,SLE,-0.85616582,0.5458590899,-0.0719237,0.1392625,-0.46804275999999945
"2,3-dihydropyran",363.15,-16.64866657,-17.14335146,877.26,84.1169,SLE,-0.89259961,0.5217677289,-0.09146171,0.12805614,-0.49468489000000204
"2,3-dihydropyran",358.15,-16.89829177,-17.41959446,881.94,84.1169,SLE,-0.9300683,0.4971962374,-0.1123672,0.11747128,-0.5213026899999988
"2,3-dihydropyran",353.15,-17.14960654,-17.69739738,886.67,84.1169,SLE,-0.96868122,0.4721825678,-0.1347579,0.1074778,-0.5477908400000011
"2,3-dihydropyran",348.15,-17.40257834,-17.9766048,891.42,84.1169,SLE,-1.00856496,0.4467696566,-0.15876862,0.09804716,-0.5740264599999989
