Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
benzene,378.15,-23.77414272,-25.45734353,796.78,78.1124,SLE,-1.43444155,0.3320639305,-0.53020991,0.03677549,-1.6832008099999989
benzene,373.15,-24.11189277,-25.82973278,801.06,78.1124,SLE,-1.47290621,0.3120261273,-0.55848909,0.03365843,-1.7178400099999998
benzene,368.15,-24.45236622,-26.20366973,805.38,78.1124,SLE,-1.51311346,0.2918698947,-0.58871769,0.0306822,-1.7513035100000032
benzene,363.15,-24.79553009,-26.57894238,809.74,78.1124,SLE,-1.55524297,0.271653688,-0.62108621,0.02784563,-1.7834122900000011
benzene,358.15,-25.14135041,-26.9553329,814.13,78.1124,SLE,-1.59948742,0.2514496513,-0.65580094,0.02514853,-1.8139824899999972
benzene,353.15,-25.4897924,-27.3326002,818.55,78.1124,SLE,-1.64606425,0.2313395354,-0.69309393,0.02259102,-1.8428078000000028
benzene,348.15,-25.84082069,-27.71048529,823.01,78.1124,SLE,-1.69521427,0.2114170124,-0.73322219,0.02017371,-1.8696646000000001
benzene,343.15,-26.1943995,-28.08872496,827.51,78.1124,SLE,-1.74719477,0.1917909993,-0.77646171,0.01789803,-1.894325460000001
benzene,338.15,-26.55049287,-28.46702545,832.04,78.1124,SLE,-1.80229784,0.1725783307,-0.82312324,0.0157653,-1.916532580000002
benzene,333.15,-26.90906493,-28.84510454,836.61,78.1124,SLE,-1.86082563,0.1539115382,-0.87353009,0.01377763,-1.9360396100000017
benzene,328.15,-27.27008015,-29.22267765,841.21,78.1124,SLE,-1.92310048,0.1359311982,-0.92802593,0.01193712,-1.952597500000003
benzene,323.15,-27.63350359,-29.59945397,845.86,78.1124,SLE,-1.98946932,0.1187800188,-0.98697772,0.01024544,-1.9659503799999989
benzene,318.15,-27.99930125,-29.97518771,850.54,78.1124,SLE,-2.06027059,0.1026043963,-1.05074365,0.00870421,-1.9758864600000017
benzene,313.15,-28.36744033,-30.34965551,855.26,78.1124,SLE,-2.13584956,0.0875403107,-1.11968497,0.00731392,-1.9822151800000007
benzene,308.15,-28.73788959,-30.72269044,860.01,78.1124,SLE,-2.216535,0.0737080095,-1.19414204,0.00607386,-1.9848008499999992
benzene,303.15,-29.11061966,-31.09420707,864.81,78.1124,SLE,-2.30262,0.0612035052,-1.27441365,0.00498173,-1.9835874099999984
benzene,298.15,-29.48560345,-31.46418534,869.64,78.1124,SLE,-2.39437106,0.0500868563,-1.3607639,0.00403301,-1.978581890000001
chcl3,403.15,-22.12730948,-23.52859129,1335.87,119.3783,SLE,-1.31534436,0.3022379866,-0.41485789,0.04837886,-1.4012818100000004
chcl3,398.15,-22.45099291,-23.89021079,1342.82,119.3783,SLE,-1.34808866,0.2858256347,-0.43619447,0.04486538,-1.439217880000001
chcl3,393.15,-22.77754467,-24.25488955,1349.82,119.3783,SLE,-1.38155986,0.2696707596,-0.45855487,0.04153748,-1.4773448800000004
chcl3,388.15,-23.10693885,-24.62260868,1356.85,119.3783,SLE,-1.41578211,0.2538142643,-0.48197171,0.03838998,-1.5156698300000002
chcl3,383.15,-23.4391479,-24.99338289,1363.93,119.3783,SLE,-1.45076071,0.2383045042,-0.50646236,0.03541924,-1.5542349900000012
chcl3,378.15,-23.77414272,-25.36719482,1371.05,119.3783,SLE,-1.4865189,0.2231796775,-0.53205629,0.03261979,-1.5930521000000013
chcl3,373.15,-24.11189277,-25.744061,1378.21,119.3783,SLE,-1.52306047,0.2084837399,-0.55876642,0.02998745,-1.6321682299999978
chcl3,368.15,-24.45236622,-26.12398413,1385.41,119.3783,SLE,-1.56039684,0.194253842,-0.58660969,0.02751713,-1.671617910000002
chcl3,363.15,-24.79553009,-26.50698386,1392.65,119.3783,SLE,-1.59852919,0.1805269186,-0.6155928,0.02520408,-1.7114537699999985
chcl3,358.15,-25.14135041,-26.89306096,1399.93,119.3783,SLE,-1.63746968,0.1673312632,-0.64572936,0.02304254,-1.7517105499999985
chcl3,353.15,-25.4897924,-27.28225633,1407.26,119.3783,SLE,-1.67720584,0.154698353,-0.67701031,0.02102782,-1.7924639300000003
chcl3,348.15,-25.84082069,-27.67460156,1414.63,119.3783,SLE,-1.71772993,0.1426516878,-0.70942788,0.01915447,-1.8337808699999982
chcl3,343.15,-26.1943995,-28.07012317,1422.04,119.3783,SLE,-1.75903674,0.1312078692,-0.74297405,0.0174166,-1.8757236699999993
chcl3,338.15,-26.55049287,-28.46888242,1429.49,119.3783,SLE,-1.80109821,0.12038324,-0.77761858,0.01580891,-1.9183895500000006
chcl3,333.15,-26.90906493,-28.87092602,1436.98,119.3783,SLE,-1.84389415,0.1101849293,-0.8133354,0.01432537,-1.9618610899999993
chcl3,328.15,-27.27008015,-29.27632422,1444.52,119.3783,SLE,-1.88738775,0.1006172229,-0.85008129,0.01296022,-2.006244070000001
chcl3,323.15,-27.63350359,-29.68515529,1452.1,119.3783,SLE,-1.93153488,0.0916788636,-0.88780393,0.01170753,-2.0516517000000007
chcl3,318.15,-27.99930125,-30.09750648,1459.72,119.3783,SLE,-1.97628309,0.0833633921,-0.92644109,0.01056129,-2.0982052300000014
chcl3,313.15,-28.36744033,-30.51348177,1467.39,119.3783,SLE,-2.02156578,0.0756603441,-0.96591535,0.00951556,-2.1460414399999976
chcl3,308.15,-28.73788959,-30.93319547,1475.09,119.3783,SLE,-2.06730581,0.0685546923,-1.00613743,0.00856435,-2.1953058799999994
chcl3,303.15,-29.11061966,-31.35676978,1482.84,119.3783,SLE,-2.11341659,0.0620271162,-1.04700741,0.00770164,-2.2461501199999994
