Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanone,353.15,-25.4897924,-27.84549273,750.56,58.0795,REF,-1.75963113,0.2366330565,-0.71397575,-2.3557003300000012,-25.4897924,-27.49616343,750.56,58.0795,SLE,-1.54488768,0.339532815,-0.53658211,0.02851756,-2.0063710300000004,0.21474345000000006,0.17739364000000002,0.1028997585,0.34932930000000084
propanone,348.15,-25.84082069,-28.25890458,754.77,58.0795,REF,-1.819916,0.2120970894,-0.76392832,-2.4180838899999983,-25.84082069,-27.89216956,754.77,58.0795,SLE,-1.58121439,0.3205217892,-0.56316958,0.02622923,-2.051348869999998,0.23870161000000012,0.20075874000000005,0.10842469980000002,0.36673502000000013
propanone,343.15,-26.1943995,-28.67237345,759.01,58.0795,REF,-1.88354574,0.1883241606,-0.81774786,-2.477973949999999,-26.1943995,-28.29058788,759.01,58.0795,SLE,-1.61868799,0.3015589395,-0.59115469,0.02406091,-2.096188380000001,0.26485775,0.22659317,0.1132347789,0.38178556999999813
propanone,338.15,-26.55049287,-29.08549017,763.3,58.0795,REF,-1.95090994,0.1654878041,-0.87583106,-2.5349973000000006,-26.55049287,-28.69132343,763.3,58.0795,SLE,-1.65739749,0.2826980738,-0.62062999,0.02200911,-2.1408305600000013,0.29351245000000015,0.25520107000000003,0.11721026970000001,0.3941667399999993
propanone,333.15,-26.90906493,-29.49775979,767.62,58.0795,REF,-2.02247787,0.143753287,-0.93865065,-2.5886948600000004,-26.90906493,-29.09426993,767.62,58.0795,SLE,-1.69744469,0.2639943863,-0.65170015,0.02007037,-2.185205,0.3250331799999999,0.2869505,0.12024109929999999,0.40348986000000053
propanone,328.15,-27.27008015,-29.90875194,771.99,58.0795,REF,-2.09870467,0.1233025615,-1.00666972,-2.63867179,-27.27008015,-29.49930929,771.99,58.0795,SLE,-1.73894574,0.2455044235,-0.68448361,0.01824124,-2.229229140000001,0.35975893000000014,0.3221861100000001,0.12220186200000001,0.409442649999999
propanone,323.15,-27.63350359,-30.3179895,776.39,58.0795,REF,-2.18010564,0.104300848,-1.08040706,-2.6844859099999994,-27.63350359,-29.90633583,776.39,58.0795,SLE,-1.78201593,0.2272930126,-0.71909986,0.01651901,-2.2728322399999996,0.3980897099999998,0.36130719999999994,0.12299216460000001,0.41165366999999975
propanone,318.15,-27.99930125,-30.72504172,780.84,58.0795,REF,-2.26719727,0.086901501,-1.16038082,-2.7257404700000016,-27.99930125,-30.3152056,780.84,58.0795,SLE,-1.82680477,0.2094184226,-0.75569956,0.01490031,-2.3159043500000003,0.44039249999999996,0.40468126000000004,0.12251692159999998,0.40983612000000136
propanone,313.15,-28.36744033,-31.12955827,785.33,58.0795,REF,-2.36047372,0.0712334269,-1.24708267,-2.7621179399999995,-28.36744033,-30.72578154,785.33,58.0795,SLE,-1.87346731,0.1919453847,-0.79444045,0.01338236,-2.358341209999999,0.4870064099999998,0.45264222,0.1207119578,0.4037767300000006
propanone,308.15,-28.73788959,-31.53129149,789.86,58.0795,REF,-2.46038958,0.0573858287,-1.34095763,-2.793401899999999,-28.73788959,-31.13793289,789.86,58.0795,SLE,-1.92216534,0.1749436374,-0.835488,0.01196285,-2.4000432999999965,0.5382242400000001,0.5054696299999999,0.11755780869999999,0.39335860000000267
