Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
cyclohexane,298.15,-29.48560345,-26.91701144,769.35,84.16,REF,-6.6465076,2.727477e-06,-5.68548977,2.5685920099999997
cyclohexanol,403.15,-22.12730948,-20.93399344,849.16,100.1595,REF,-2.82475187,0.0149975298,-1.90042285,1.1933160400000027
cyclohexanol,398.15,-22.45099291,-21.14144503,853.6,100.1595,REF,-2.98888444,0.0103214126,-2.06104871,1.3095478800000002
cyclohexanol,393.15,-22.77754467,-21.35263396,858.06,100.1595,REF,-3.15670874,0.0070341568,-2.22573772,1.4249107100000025
cyclohexanol,388.15,-23.10693885,-21.56727813,862.55,100.1595,REF,-3.3285117,0.0047458043,-2.39466996,1.5396607200000005
cyclohexanol,383.15,-23.4391479,-21.78519098,867.07,100.1595,REF,-3.50453977,0.0031688478,-2.56801431,1.6539569199999988
cyclohexanol,378.15,-23.77414272,-22.00627294,871.61,100.1595,REF,-3.68500127,0.0020934468,-2.74592303,1.7678697800000016
cyclohexanol,373.15,-24.11189277,-22.23050104,876.18,100.1595,REF,-3.87006999,0.0013679736,-2.92852969,1.8813917300000007
cyclohexanol,368.15,-24.45236622,-22.45791731,880.78,100.1595,REF,-4.0598898,0.0008839905,-3.11594953,1.9944489099999991
cyclohexanol,363.15,-24.79553009,-22.6886174,885.4,100.1595,REF,-4.25457953,0.0005647847,-3.30828119,2.1069126900000015
cyclohexanol,358.15,-25.14135041,-22.92273929,890.05,100.1595,REF,-4.45423823,0.0003567021,-3.50560964,2.218611120000002
cyclohexanol,353.15,-25.4897924,-23.16045333,894.73,100.1595,REF,-4.65895,0.0002226622,-3.70800927,2.3293390699999996
cyclohexanol,348.15,-25.84082069,-23.40195304,899.43,100.1595,REF,-4.86878888,0.0001373539,-3.91554749,2.4388676500000024
cyclohexanol,343.15,-26.1943995,-23.6474471,904.17,100.1595,REF,-5.08382328,8.37197e-05,-4.12828828,2.5469523999999986
cyclohexanol,338.15,-26.55049287,-23.8971525,908.93,100.1595,REF,-5.3041202,5.04131e-05,-4.34629568,2.6533403699999987
cyclohexanol,333.15,-26.90906493,-24.15128887,913.72,100.1595,REF,-5.52974898,2.99863e-05,-4.56963711,2.757776060000001
cyclohexanol,328.15,-27.27008015,-24.41007389,918.53,100.1595,REF,-5.76078469,1.76154e-05,-4.79838643,2.8600062599999987
cyclohexanol,323.15,-27.63350359,-24.67371969,923.38,100.1595,REF,-5.99731124,1.02181e-05,-5.03262676,2.9597839000000015
cyclohexanol,318.15,-27.99930125,-24.94243029,928.25,100.1595,REF,-6.23942399,5.851367e-06,-5.27245301,3.0568709599999977
cyclohexanol,313.15,-28.36744033,-25.21639982,933.15,100.1595,REF,-6.48723215,3.307122e-06,-5.51797411,3.1510405100000014
cyclohexanol,308.15,-28.73788959,-25.49581144,938.08,100.1595,REF,-6.7408609,1.844259e-06,-5.76931508,3.242078150000001
cyclohexanol,303.15,-29.11061966,-25.78083691,943.03,100.1595,REF,-7.00045328,1.014448e-06,-6.0266189,3.3297827499999997
cyclohexanol,298.15,-29.48560345,-26.07163646,948.02,100.1595,REF,-7.26617196,5.501884e-07,-6.29004823,3.4139669899999987
"2,3-dihydropyran",403.15,-22.12730948,-23.6443228,840.91,84.1169,REF,-1.35549628,0.3581262965,-0.47848093,-1.5170133200000002
"2,3-dihydropyran",398.15,-22.45099291,-24.02264266,845.34,84.1169,REF,-1.40738779,0.3300025317,-0.51593416,-1.5716497499999988
"2,3-dihydropyran",393.15,-22.77754467,-24.40166743,849.81,84.1169,REF,-1.4618018,0.3019030882,-0.55646227,-1.6241227599999988
"2,3-dihydropyran",388.15,-23.10693885,-24.78093908,854.3,84.1169,REF,-1.5190791,0.273975102,-0.60042032,-1.6740002300000008
