Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
benzene,333.15,0.82944309,3.89937717,836.61,78.1124,REF,-5.39936517,1.18575e-05,-4.36956454,3.0699340800000003
benzene,328.15,0.55242703,3.75065426,841.21,78.1124,REF,-5.71337337,5.754236e-06,-4.68118747,3.19822723
benzene,323.15,0.26948871,3.60078118,845.86,78.1124,REF,-6.04032603,2.710416e-06,-5.00574927,3.3312924699999997
benzene,318.15,-0.01939498,3.44977438,850.54,78.1124,REF,-6.38086061,1.237376e-06,-5.34388712,3.46916936
benzene,313.15,-0.31423366,3.29764174,855.26,78.1124,REF,-6.73563993,5.466667e-07,-5.69626365,3.6118754
benzene,308.15,-0.6150239,3.14438552,860.01,78.1124,REF,-7.10535654,2.333491e-07,-6.06357134,3.75940942
benzene,303.15,-0.92174984,2.99000458,864.81,78.1124,REF,-7.49073728,9.607833e-08,-6.44653694,3.91175442
benzene,298.15,-1.23438398,2.83449384,869.64,78.1124,REF,-7.89254636,3.809047e-08,-6.84592462,4.06887782
chcl3,403.15,4.12814181,4.43262701,1335.87,119.3783,REF,-1.29560463,0.0940228576,-0.27831652,0.30448520000000023
chcl3,398.15,3.9249904,4.26899996,1342.82,119.3783,REF,-1.4541453,0.0661922034,-0.42520344,0.3440095600000004
chcl3,393.15,3.71738099,4.09667166,1349.82,119.3783,REF,-1.61435978,0.046230156,-0.57645436,0.37929067000000005
chcl3,388.15,3.50516833,3.91566443,1356.85,119.3783,REF,-1.77640713,0.0320574039,-0.73149797,0.41049610000000003
chcl3,383.15,3.28820878,3.72623723,1363.93,119.3783,REF,-1.94058872,0.0220740809,-0.89008462,0.43802845
chcl3,378.15,3.06636144,3.52876221,1371.05,119.3783,REF,-2.10728573,0.0150894606,-1.05219041,0.4624007699999999
chcl3,373.15,2.83948933,3.32364334,1378.21,119.3783,REF,-2.2769161,0.0102346896,-1.21794015,0.4841540099999997
chcl3,368.15,2.6074606,3.11125572,1385.41,119.3783,REF,-2.44990029,0.0068833683,-1.38754411,0.5037951199999999
chcl3,363.15,2.37014979,2.89192083,1392.65,119.3783,REF,-2.6266458,0.0045871365,-1.56125985,0.52177104
chcl3,358.15,2.12743908,2.66589625,1399.93,119.3783,REF,-2.80753921,0.0030267622,-1.73936749,0.53845717
chcl3,353.15,1.87921951,2.43337871,1407.26,119.3783,REF,-2.99294591,0.0019760308,-1.92215704,0.5541592
chcl3,348.15,1.62539208,2.19450959,1414.63,119.3783,REF,-3.18321123,0.0012754881,-2.1099208,0.5691175100000001
chcl3,343.15,1.3658688,1.94938468,1422.04,119.3783,REF,-3.37866461,0.0008134308,-2.30295102,0.58351588
chcl3,338.15,1.10057361,1.69806388,1429.49,119.3783,REF,-3.57962404,0.0005121826,-2.50153992,0.59749027
chcl3,333.15,0.82944309,1.44058003,1436.98,119.3783,REF,-3.7864006,0.000318192,-2.70598076,0.61113694
chcl3,328.15,0.55242703,1.17694764,1444.52,119.3783,REF,-3.99930328,0.0001949003,-2.9165704,0.62452061
chcl3,323.15,0.26948871,0.90716936,1452.1,119.3783,REF,-4.21864308,0.0001176221,-3.13361166,0.6376806500000001
chcl3,318.15,-0.01939498,0.63124207,1459.72,119.3783,REF,-4.44473721,6.98884e-05,-3.35741631,0.6506370499999999
chcl3,313.15,-0.31423366,0.34916158,1467.39,119.3783,REF,-4.67791301,4.08541e-05,-3.58830811,0.66339524
chcl3,308.15,-0.6150239,0.06092642,1475.09,119.3783,REF,-4.91851172,2.34769e-05,-3.82662601,0.67595032
chcl3,303.15,-0.92174984,-0.23345929,1482.84,119.3783,REF,-5.16689216,1.32514e-05,-4.07272736,0.6882905500000001
chcl3,298.15,-1.23438398,-0.53398373,1490.63,119.3783,REF,-5.42343434,7.340424e-06,-4.32699128,0.7004002500000001
cyclohexane,403.15,4.12814181,7.60816421,682.56,84.16,REF,-3.01704699,0.00264969,-2.10834887,3.4800224
cyclohexane,398.15,3.9249904,7.50220926,686.3,84.16,REF,-3.22886204,0.0016280336,-2.31766297,3.57721886
cyclohexane,393.15,3.71738099,7.39150771,690.07,84.16,REF,-3.44590429,0.0009880946,-2.53224275,3.67412672
cyclohexane,388.15,3.50516833,7.27734497,693.88,84.16,REF,-3.66918128,0.00059106,-2.75307811,3.7721766399999996
cyclohexane,383.15,3.28820878,7.16060478,697.73,84.16,REF,-3.8995231,0.000347822,-2.98098778,3.8723959999999997
cyclohexane,378.15,3.06636144,7.04189847,701.61,84.16,REF,-4.13764474,0.0002010371,-3.21667943,3.9755370299999995
cyclohexane,373.15,2.83948933,6.92164987,705.53,84.16,REF,-4.38418738,0.0001139614,-3.46078952,4.08216054
cyclohexane,368.15,2.6074606,6.80015225,709.5,84.16,REF,-4.6397465,6.32721e-05,-3.71391046,4.19269165
cyclohexane,363.15,2.37014979,6.67760805,713.5,84.16,REF,-4.90489185,3.43617e-05,-3.97661009,4.30745826
cyclohexane,358.15,2.12743908,6.55415654,717.54,84.16,REF,-5.18018179,1.82301e-05,-4.24944551,4.426717460000001
cyclohexane,353.15,1.87921951,6.42989356,721.62,84.16,REF,-5.46617398,9.436261e-06,-4.53297359,4.55067405
cyclohexane,348.15,1.62539208,6.30488545,725.74,84.16,REF,-5.76343329,4.759288e-06,-4.8277587,4.679493369999999
cyclohexane,343.15,1.3658688,6.17917872,729.9,84.16,REF,-6.07253789,2.335813e-06,-5.13437867,4.81330992
cyclohexane,338.15,1.10057361,6.0528069,734.11,84.16,REF,-6.39408408,1.114018e-06,-5.45342956,4.952233290000001
cyclohexane,333.15,0.82944309,5.92579493,738.36,84.16,REF,-6.72868998,5.155686e-07,-5.78552931,5.0963518400000005
cyclohexane,328.15,0.55242703,5.79816236,742.65,84.16,REF,-7.07699903,2.311945e-07,-6.13132122,5.2457353300000005
cyclohexane,323.15,0.26948871,5.66992587,746.99,84.16,REF,-7.43968343,1.002982e-07,-6.49147734,5.40043716
cyclohexane,318.15,-0.01939498,5.54109795,751.37,84.16,REF,-7.81744536,4.202727e-08,-6.86669977,5.5604929300000006
cyclohexane,313.15,-0.31423366,5.41169172,755.79,84.16,REF,-8.21102295,1.698062e-08,-7.25772648,5.7259253800000005
cyclohexane,308.15,-0.6150239,5.28171882,760.26,84.16,REF,-8.62119187,6.60366e-09,-7.66533305,5.89674272
cyclohexane,303.15,-0.92174984,5.15118986,764.78,84.16,REF,-9.04876928,2.467217e-09,-8.09033652,6.0729397
cyclohexane,298.15,-1.23438398,5.02011481,769.35,84.16,REF,-9.49461817,8.838089e-10,-8.53359976,6.2544987899999995
cyclohexanol,403.15,4.12814181,4.21172372,849.16,100.1595,REF,-1.1758541,0.1422008376,-0.27247027,0.08358191000000037
cyclohexanol,398.15,3.9249904,4.01848397,853.6,100.1595,REF,-1.31663644,0.1051858253,-0.40424397,0.09349357000000014
cyclohexanol,393.15,3.71738099,3.81936616,858.06,100.1595,REF,-1.46021027,0.076870732,-0.540523,0.10198516999999985
cyclohexanol,388.15,3.50516833,3.61435042,862.55,100.1595,REF,-1.60675407,0.0555508441,-0.68108407,0.10918209000000001
cyclohexanol,383.15,3.28820878,3.4034685,867.07,100.1595,REF,-1.75648415,0.0397174456,-0.8258241,0.11525971999999962
cyclohexanol,378.15,3.06636144,3.18676365,871.61,100.1595,REF,-1.90963332,0.0281033397,-0.97472677,0.12040220999999995
cyclohexanol,373.15,2.83948933,2.96426884,876.18,100.1595,REF,-2.06643857,0.0196816719,-1.1278374,0.12477950999999976
